date,alcohol abuse,allergy,anorexia,arthritis,asthma,cancer,headache,sting,bleeding,blindness,high blood pressure,stroke,bruises,burns,corpses,pancreatic cancer,skin cancer,cervical cancer,cardiac arrest,death,heart disease,cardiovascular disease,cholera,chronic disease,shock,dengue,syndrome,coma,cough,cystic fibrosis,birth defects,disease,lung disease,dyslexia,multiple sclerosis,binge drinking,drowning,spotting,emergency,epilepsy,famine,fibrosis,seizure,heart attack,heart failure,hepatitis,hepatitis c,influenza,fever,critically ill,illusion,aids,cerebral palsy,infection,infectious diseases,inflammation,injuries,brain injury,kidney failure,fatigue,learning disabilities,liver disease,pneumonia,rabies,measles,melanoma,meningitis,mesothelioma,microcephaly,maids,nausea,prostate cancer,lung cancer,ovarian cancer,malnutrition,childhood obesity,obesity,choking,overweight,dementia,whooping cough,plague,poisoning,polio,rash,confusion,recurrence,gagging,head injuries,malaria,infertility,rupture,scars,sclerosis,sepsis,spinal injuries,miscarriage,stillbirth,strain,drug abuse,back pain,paralysis,tremors,tuberculosis,breast cancer,vegetative state,sexually transmitted infections,vomiting,dehydration,weight loss,gunshot wounds
2010-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06,3.0,0.0,0.0,1.0,0.0,29.0,0.0,3.0,1.0,1.0,0.0,8.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,96.0,9.0,1.0,0.0,0.0,8.0,2.0,3.0,0.0,1.0,3.0,0.0,68.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,2.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,14.0,0.0,18.0,0.0,0.0,55.0,1.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,2.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0
2010-07,0.0,1.0,0.0,9.0,0.0,88.0,3.0,0.0,1.0,1.0,1.0,11.0,0.0,5.0,2.0,1.0,0.0,1.0,0.0,120.0,13.0,2.0,0.0,0.0,14.0,0.0,4.0,1.0,0.0,0.0,3.0,62.0,0.0,1.0,3.0,0.0,1.0,3.0,46.0,1.0,1.0,0.0,12.0,8.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,12.0,0.0,12.0,0.0,2.0,33.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,4.0,2.0,22.0,0.0,12.0,6.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,2.0,7.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,9.0,1.0,0.0,1.0,1.0,7.0,11.0,0.0,0.0,0.0,1.0,5.0,2.0
2010-08,10.0,1.0,0.0,7.0,4.0,132.0,1.0,3.0,1.0,1.0,3.0,25.0,1.0,17.0,1.0,0.0,1.0,0.0,0.0,83.0,7.0,1.0,2.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,88.0,3.0,0.0,7.0,5.0,1.0,0.0,68.0,0.0,2.0,0.0,3.0,4.0,17.0,1.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,35.0,5.0,4.0,37.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,1.0,33.0,1.0,18.0,8.0,0.0,1.0,2.0,0.0,0.0,7.0,2.0,1.0,1.0,3.0,1.0,0.0,3.0,7.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,3.0,7.0,18.0,0.0,2.0,3.0,1.0,6.0,0.0
2010-09,1.0,2.0,0.0,7.0,0.0,133.0,1.0,4.0,1.0,1.0,0.0,8.0,1.0,43.0,11.0,0.0,1.0,0.0,3.0,121.0,5.0,0.0,1.0,1.0,13.0,3.0,15.0,2.0,1.0,0.0,0.0,55.0,0.0,1.0,3.0,2.0,0.0,1.0,58.0,0.0,12.0,0.0,2.0,7.0,7.0,3.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,18.0,2.0,4.0,53.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,6.0,1.0,1.0,16.0,0.0,8.0,44.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,23.0,3.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,13.0,1.0,0.0,3.0,5.0,2.0,22.0,0.0,1.0,1.0,0.0,4.0,2.0
2010-10,9.0,0.0,0.0,0.0,2.0,122.0,4.0,2.0,1.0,1.0,2.0,36.0,3.0,14.0,0.0,4.0,0.0,0.0,0.0,129.0,2.0,0.0,28.0,1.0,12.0,6.0,1.0,5.0,1.0,1.0,0.0,97.0,1.0,1.0,1.0,4.0,2.0,2.0,91.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,22.0,0.0,0.0,50.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,1.0,3.0,2.0,0.0,10.0,0.0,6.0,14.0,0.0,2.0,2.0,20.0,0.0,6.0,1.0,0.0,0.0,43.0,5.0,0.0,10.0,1.0,0.0,2.0,3.0,0.0,9.0,6.0,2.0,1.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-11,1.0,1.0,0.0,3.0,1.0,51.0,1.0,3.0,2.0,1.0,6.0,23.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,120.0,9.0,0.0,117.0,2.0,16.0,0.0,2.0,3.0,0.0,0.0,1.0,90.0,1.0,0.0,2.0,2.0,3.0,1.0,44.0,0.0,4.0,0.0,12.0,12.0,3.0,5.0,4.0,2.0,5.0,1.0,2.0,17.0,1.0,34.0,3.0,0.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,14.0,0.0,7.0,0.0,0.0,1.0,16.0,0.0,1.0,1.0,20.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,21.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,7.0,9.0,2.0,1.0
2010-12,5.0,0.0,1.0,3.0,7.0,143.0,18.0,3.0,7.0,0.0,3.0,8.0,1.0,14.0,0.0,0.0,2.0,0.0,0.0,91.0,4.0,2.0,7.0,1.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,59.0,2.0,0.0,2.0,0.0,2.0,2.0,66.0,1.0,1.0,0.0,0.0,7.0,11.0,10.0,9.0,4.0,2.0,0.0,1.0,6.0,2.0,7.0,2.0,3.0,46.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,1.0,1.0,1.0,15.0,1.0,13.0,10.0,0.0,3.0,5.0,0.0,1.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,7.0,2.0,0.0,4.0,3.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
2011-01,4.0,1.0,0.0,7.0,4.0,101.0,9.0,4.0,4.0,1.0,7.0,22.0,1.0,16.0,0.0,4.0,11.0,0.0,1.0,143.0,7.0,2.0,8.0,3.0,26.0,0.0,6.0,1.0,6.0,0.0,0.0,74.0,0.0,0.0,1.0,0.0,1.0,2.0,107.0,1.0,1.0,1.0,2.0,11.0,1.0,0.0,0.0,10.0,4.0,1.0,3.0,5.0,1.0,38.0,0.0,2.0,38.0,1.0,1.0,3.0,2.0,1.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,5.0,5.0,2.0,9.0,0.0,3.0,8.0,0.0,1.0,7.0,10.0,1.0,6.0,1.0,0.0,2.0,19.0,0.0,1.0,6.0,1.0,0.0,0.0,10.0,0.0,41.0,2.0,0.0,3.0,0.0,3.0,4.0,0.0,5.0,5.0,1.0,3.0,2.0
