date,choking,allergies,anorexia,anthrax,cardiac arrest,asthma,illusion,back pain,sting,bleeding,high blood pressure,body weight,broken bones,brain death,dengue,spotting,bruises,blister,burn,corpse,calculus,colon cancer,cervical cancer,prostate cancer,ovarian cancer,death,cardiovascular disease,encephalopathy,stroke,chills,cholera,alcoholism,chronic disease,shock,strictures,brain injury,cough,cramps,decapitation,birth defects,substance abuse,sleep deprivation,dyslexia,stuttering,diarrhea,idiocy,bends,tuberculosis,disease,infectious diseases,dislocation,multiple sclerosis,drowning,drunkenness,amelia,emergency,vomiting,polio,mumps,aura,rash,dementia,fatigue,fibrosis,flushing,seizure,boils,gonorrhea,gunshot wound,heart attack,heart disease,heart failure,hepatitis,hiccup,hiv infection,fever,blindness,impotence,infection,inflammation,influenza,head injuries,insomnia,lacerations,underweight,leukemia,weight loss,lymphoma,breast cancer,malnutrition,rubella,measles,melanoma,memory loss,meningitis,microcephaly,migraines,smallpox,maids,nausea,obesity,hallucinations,childhood obesity,drug overdose,overweight,pancreatic cancer,paralysis,aches,plague,pneumonia,poisoning,arthritis,brain tumor,itching,coma,hepatitis c,lung cancer,confusion,relapse,malaria,infertility,rupture,scars,learning disabilities,sclerosis,stds,morning sickness,snoring,crackle,spasms,miscarriage,famine,strain,dehydration,sudden death,syndrome,fainting,aids,down syndrome,syphilis,amnesia,injury,tremors,cancer,ulcers,headache,warts,weight gain,pertussis,chronic pain
2004-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,2.0,1.0,0.0,1.0,2.0,34.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,1.0
2008-11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,48.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,2.0,0.0,1.0,50.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,1.0,1.0,0.0,8.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,3.0,2.0,2.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,0.0,24.0,0.0,1.0,1.0,10.0,2.0,23.0,0.0,3.0,2.0,1.0,0.0,0.0
2009-02,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,68.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,6.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,1.0,21.0,0.0,2.0,0.0,4.0,0.0,0.0
2009-03,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,54.0,3.0,0.0,10.0,1.0,0.0,2.0,5.0,15.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,22.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0
2009-04,1.0,8.0,12.0,0.0,1.0,0.0,6.0,0.0,9.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,8.0,5.0,4.0,0.0,0.0,0.0,2.0,62.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,0.0,3.0,0.0,2.0,0.0,1.0,7.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,7.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,6.0,0.0,12.0,0.0,1.0,0.0,37.0,0.0,25.0,2.0,7.0,0.0,0.0,0.0,1.0
2009-05,1.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,11.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,3.0,17.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0
2009-06,5.0,0.0,0.0,8.0,1.0,0.0,9.0,0.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,4.0,6.0,2.0,1.0,0.0,0.0,0.0,135.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,18.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,14.0,0.0,1.0,0.0,3.0,0.0,5.0,16.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,7.0,0.0,7.0,1.0,1.0,1.0,33.0,1.0,30.0,1.0,2.0,1.0,3.0,0.0,0.0
