date,abdominal pain,macular degeneration,choking,allergy,anemia,anorexia,anthrax,apnea,cardiac arrest,asthma,cerebral palsy,illusion,avian flu,back pain,back injury,sting,bleeding,high blood pressure,body weight,broken bones,brain dead,encephalitis,dengue,spotting,shortness of breath,bronchitis,bruises,blisters,burns,corpse,calculus,colon cancer,bladder cancer,cervical cancer,prostate cancer,ovarian cancer,death,cardiovascular disease,cataracts,common cold,encephalopathy,stroke,chills,cholera,alcoholism,copd,chronic diseases,shock,stenosis,brain injury,coronary heart disease,cough,cramps,decapitation,birth defects,substance abuse,sleep deprivation,dyslexia,stuttering,diarrhea,mental retardation,bends,tuberculosis,lyme disease,disease,infectious diseases,kidney disease,neurological disorders,multiple sclerosis,dizziness,binge drinking,drowning,drunkenness,muscular dystrophy,amelia,emergency,vomiting,polio,hernia,mumps,epilepsy,rash,kidney failure,dementia,fatigue,typhoid,cystic fibrosis,fibrosis,flushing,seizure,food allergies,food poisoning,frostbite,boils,carbon monoxide poisoning,stomach cancer,gerd,gonorrhea,gunshot wound,hearing loss,heart attack,heart disease,heart failure,heat stroke,hepatitis,hepatitis b,liver cancer,hiccups,hiv infection,rabies,overeating,fever,hypothermia,blindness,critically ill,erectile dysfunction,bacterial infection,infection,inflammation,influenza,foot injury,spinal injury,ankle injury,head injuries,wrist injury,insomnia,knee injury,lacerations,underweight,leg injury,leprosy,leukemia,liver disease,unconsciousness,weight loss,lung disease,lymphoma,mad cow disease,breast cancer,malnutrition,rubella,measles,melanoma,memory loss,meningitis,microcephaly,migraine,smallpox,oral cancer,maids,nausea,neck injury,thyroid cancer,kidney cancer,skin cancer,testicular cancer,numbness,obesity,hallucinations,childhood obesity,osteoarthritis,osteoporosis,drug overdose,overweight,chest pain,joint pain,pancreatic cancer,paralysis,aches,plague,pneumonia,lead poisoning,poisoning,sepsis,arthritis,polyps,spinal cord injury,postpartum depression,preterm birth,brain tumor,itching,coma,hepatitis c,lung cancer,rare disease,confusion,recurrence,malaria,infertility,severe acute respiratory syndrome,respiratory infections,rheumatoid arthritis,rupture,scars,learning disabilities,sclerosis,sexually transmitted diseases,morning sickness,sids,signs and symptoms,sleep apnea,sneezing,snoring,muscle pain,wheezing,spasms,miscarriage,stab wounds,starvation,vegetative state,stillbirth,kidney stones,strain,dehydration,sudden death,suffocation,sunburn,syndrome,fainting,aids,down syndrome,syphilis,amnesia,tetanus,sore throat,injury,tremors,cancer,ulcers,headaches,hives,warts,weight gain,birth weight,whooping cough,chronic pain,yellow fever,shingles
2001-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,83,0,0,0,0,1,0,0,1,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,1,0,2,0,43,0,0,0,0,0,0,1,0,2,1,0,0,0,4,0,1,0,0,0,0,0,0,1,0,3,7,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,10,0,3,0,0,1,9,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,1,1,0,0,0,0,4,0,0,0,0,0,28,0,39,0,0,0,0,0,0,1,0,0,0
2001-02,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,38,1,0,0,0,20,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,17,4,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,9,0,0,0,0,0,10,0,0,0,0,0,1,0,0,4,0,2,1,0,0,0,2,0,0,0,5,0,0,0,11,2,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,6,0,99,0,1,0,0,0,1,0,0,0,0
2001-03,1,0,0,2,1,7,0,0,0,0,0,3,0,1,0,14,1,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,1,48,0,0,0,4,5,0,0,2,0,0,4,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,69,2,0,0,0,0,1,1,1,0,0,19,0,1,0,2,1,2,0,1,2,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,1,0,6,2,17,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20,2,1,1,2,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,4,0,0,0,1,1,0,0,17,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,3,1,0,0,0,0,8,0,0,2,1,0,8,0,33,0,3,0,3,3,0,2,0,0,0
2001-04,0,0,3,2,0,0,1,0,0,0,0,4,0,0,0,15,2,3,0,0,0,0,0,1,0,0,1,0,12,1,0,3,0,0,1,0,71,0,0,0,0,2,0,0,3,0,1,3,1,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,113,2,1,0,0,0,1,2,0,0,0,70,0,1,0,0,1,4,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,12,1,0,1,1,1,0,4,1,0,1,0,0,0,2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,5,0,1,0,1,0,0,0,1,2,1,1,5,9,0,1,0,0,0,0,5,0,1,0,13,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,10,0,0,0,0,1,0,26,0,0,0,1,0,40,0,74,0,2,0,0,0,0,1,0,0,0
2001-05,0,0,1,5,0,2,26,0,1,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,15,2,0,4,0,0,0,0,258,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,2,0,2,10,0,0,0,1,2,0,0,0,35,0,0,0,2,0,0,5,0,0,0,16,0,1,0,0,0,1,0,0,8,0,0,0,0,2,0,0,0,6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,3,0,0,0,2,0,0,0,1,1,2,1,0,0,0,0,0,0,4,0,0,2,0,0,1,1,6,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,5,1,27,0,0,0,0,0,55,1,29,0,8,0,0,0,0,0,0,0,0
2001-06,0,0,1,12,1,0,0,0,0,5,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,16,3,0,0,0,1,1,0,389,0,0,0,0,7,0,0,0,0,2,9,0,0,0,1,2,0,1,2,0,0,0,1,0,0,2,9,94,0,0,1,13,0,0,6,0,0,2,19,2,1,0,0,1,4,0,0,1,0,1,1,0,1,2,2,0,0,0,0,0,0,1,0,17,3,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,13,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,2,3,0,0,1,1,8,0,3,20,0,0,0,2,0,16,0,14,1,0,0,0,0,0,0,2,2,13,17,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,12,7,0,0,0,8,0,90,0,0,0,0,0,48,1,46,1,8,0,1,0,0,0,0,0,0
2001-07,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,6,4,1,0,1,0,0,0,0,1,1,0,19,7,0,3,0,1,0,0,96,1,0,0,2,5,0,0,4,0,6,9,0,2,0,0,0,0,0,4,0,0,0,0,4,0,0,0,74,5,0,2,0,0,1,2,0,0,1,15,2,5,0,0,0,1,8,1,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,3,7,2,0,0,0,1,0,0,0,2,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,16,0,0,0,2,0,1,1,0,2,0,0,0,3,2,0,9,0,12,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,7,0,28,2,1,4,0,0,51,1,46,0,3,0,1,0,0,0,0,0,0
2001-08,0,1,1,2,0,0,0,0,1,1,0,1,0,0,0,10,7,1,0,1,0,1,0,0,0,0,1,0,11,3,1,1,0,0,1,0,112,2,0,0,2,19,0,0,6,0,3,13,0,3,0,2,0,2,0,17,0,1,1,0,0,0,1,0,89,0,0,0,1,1,1,6,0,0,2,25,0,0,0,0,3,3,2,0,1,0,1,1,2,6,0,0,0,1,0,0,0,0,1,0,5,2,1,14,0,0,0,0,0,0,0,7,0,1,0,1,0,2,0,1,0,1,0,2,0,0,0,0,1,3,0,1,1,0,1,0,0,0,4,0,0,0,11,0,0,0,0,2,0,0,1,0,0,0,6,0,0,0,1,0,0,1,2,1,0,0,3,3,0,0,0,0,2,0,0,0,2,25,0,0,0,7,0,11,0,4,0,0,0,0,0,0,1,3,0,1,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,1,0,0,1,2,1,9,0,0,0,0,0,63,0,63,0,5,0,0,0,0,0,1,0,0
2001-09,0,0,3,1,0,0,11,0,1,1,0,2,0,0,0,5,3,0,1,4,0,0,0,1,0,0,0,0,15,2,0,0,0,0,1,1,130,0,0,2,0,4,0,0,3,0,1,25,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,19,1,0,0,0,0,0,9,0,0,2,80,0,0,0,0,0,7,0,0,2,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,3,1,3,0,17,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,18,4,0,7,0,0,0,0,4,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,3,0,0,0,0,2,0,22,0,0,0,0,0,41,1,17,0,4,0,0,0,0,0,0,0,0
2001-10,3,0,0,2,1,0,1532,0,2,0,0,0,0,2,0,2,3,0,0,0,0,1,2,1,0,1,2,3,7,0,0,0,0,0,0,0,147,1,0,3,0,0,1,0,0,0,0,27,0,0,0,17,0,0,1,0,0,0,0,3,0,0,0,0,239,10,0,0,1,0,0,0,0,0,0,118,5,1,0,0,0,13,0,0,6,0,0,0,0,5,0,3,0,1,0,0,0,0,0,4,2,0,1,0,0,0,1,0,0,0,0,27,0,1,0,0,3,82,1,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,49,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,24,6,0,7,10,2,0,0,0,0,1,1,0,0,0,1,11,1,1,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,2,0,0,0,11,0,0,0,59,0,0,0,0,5,0,6,0,0,0,0,7,26,1,25,3,11,2,0,0,0,0,3,0,0
