date,abdominal pain,macular degeneration,choking,allergy,anemia,anorexia,anthrax,apnea,cardiac arrest,asthma,cerebral palsy,illusion,avian flu,back pain,back injury,sting,bleeding,high blood pressure,body weight,broken bones,brain dead,encephalitis,dengue,spotting,shortness of breath,bronchitis,bruises,blisters,burns,corpse,calculus,colon cancer,bladder cancer,cervical cancer,prostate cancer,ovarian cancer,death,cardiovascular disease,cataracts,common cold,encephalopathy,stroke,chills,cholera,alcoholism,copd,chronic diseases,shock,stenosis,brain injury,coronary heart disease,cough,cramps,decapitation,birth defects,substance abuse,sleep deprivation,dyslexia,stuttering,diarrhea,mental retardation,bends,tuberculosis,lyme disease,disease,infectious diseases,kidney disease,neurological disorders,multiple sclerosis,dizziness,binge drinking,drowning,drunkenness,muscular dystrophy,amelia,emergency,vomiting,polio,hernia,mumps,epilepsy,rash,kidney failure,dementia,fatigue,typhoid,cystic fibrosis,fibrosis,flushing,seizure,food allergies,food poisoning,frostbite,boils,carbon monoxide poisoning,stomach cancer,gerd,gonorrhea,gunshot wound,hearing loss,heart attack,heart disease,heart failure,heat stroke,hepatitis,hepatitis b,liver cancer,hiccups,hiv infection,rabies,overeating,fever,hypothermia,blindness,critically ill,erectile dysfunction,bacterial infection,infection,inflammation,influenza,foot injury,spinal injury,ankle injury,head injuries,wrist injury,insomnia,knee injury,lacerations,underweight,leg injury,leprosy,leukemia,liver disease,unconsciousness,weight loss,lung disease,lymphoma,mad cow disease,breast cancer,malnutrition,rubella,measles,melanoma,memory loss,meningitis,microcephaly,migraine,smallpox,oral cancer,maids,nausea,neck injury,thyroid cancer,kidney cancer,skin cancer,testicular cancer,numbness,obesity,hallucinations,childhood obesity,osteoarthritis,osteoporosis,drug overdose,overweight,chest pain,joint pain,pancreatic cancer,paralysis,aches,plague,pneumonia,lead poisoning,poisoning,sepsis,arthritis,polyps,spinal cord injury,postpartum depression,preterm birth,brain tumor,itching,coma,hepatitis c,lung cancer,rare disease,confusion,recurrence,malaria,infertility,severe acute respiratory syndrome,respiratory infections,rheumatoid arthritis,rupture,scars,learning disabilities,sclerosis,sexually transmitted diseases,morning sickness,sids,signs and symptoms,sleep apnea,sneezing,snoring,muscle pain,wheezing,spasms,miscarriage,stab wounds,starvation,vegetative state,stillbirth,kidney stones,strain,dehydration,sudden death,suffocation,sunburn,syndrome,fainting,aids,down syndrome,syphilis,amnesia,tetanus,sore throat,injury,tremors,cancer,ulcers,headaches,hives,warts,weight gain,birth weight,whooping cough,chronic pain,yellow fever,shingles
2001-01,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.097087379,0.051282051,0,0,0,0,0,0,0,0,0.0625,0.007692308,0,0,0,0.1,0.019230769,0,0,0.010204082,0,0.049316696,0,0,0,0,0.003952569,0,0,0.027027027,0,0,0.038709677,0,0,0,0.015151515,0,0,0,0.017391304,0,0,0,0,0,0,0,0,0.024275118,0.005649718,0,0,0,0,0,0.019230769,0,0.133333333,0,0.07337884,0,0,0,0,0,0,0.041666667,0,0.027777778,0.05,0,0,0,0.03960396,0,0.038461538,0,0,0,0,0,0,0.013513514,0,0.021276596,0.054263566,0.021276596,0,0,0,0.066666667,0,0,0,0,0.003773585,0,0,0,0.020408163,0.058823529,0.013856813,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.058823529,0,0.013888889,0,0,0,0.008032129,0.043478261,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0.043478261,0,0,0,0.061403509,0,0,0,0,0,0,0.212765957,0,0.030927835,0,0,0.043478261,0.108433735,0.023255814,0.011111111,0,0,0.090909091,0,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108695652,0,0,0,0.020703934,0.032258065,0.076923077,0,0,0,0,0.021978022,0,0,0,0,0,0.006711409,0,0.035230352,0,0,0,0,0,0,0.02,0,0,0
2001-02,0,0,0.028571429,0.032,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.020618557,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.25,0,0,0,0,0.022578728,0.024390244,0,0,0,0.079051383,0,0.00990099,0,0,0,0.006451613,0,0,0,0,0,0,0.025477707,0,0,0,0,0,0.076923077,0,0.020833333,0,0.01146325,0.02259887,0,0,0,0.037037037,0,0,0,0,0,0.003412969,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0.034482759,0.115384615,0,0.0625,0,0,0,0.035714286,0,0,0.014184397,0.007751938,0,0,0,0,0.133333333,0,0,0,0.045454545,0,0,0.052631579,0,0,0,0.011547344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0.016064257,0,0,0,0,0,0,0,0,0.008196721,0,0,0.058823529,0,0.025641026,0,0.049180328,0,0,0.066176471,0,0,0,0,0,0.133333333,0,0,0,0,0,0.008474576,0,0,0.035087719,0,0.017241379,0.052631579,0,0,0,0.042553191,0,0,0,0.037313433,0,0,0,0.122222222,0.047619048,0,0.090909091,0.03030303,0,0,0.05,0,0,0,0.046511628,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0.007042254,0,0.027472527,0,0,0,0,0,0.001438159,0,0.089430894,0,0.010526316,0,0,0,0.058823529,0,0,0,0
2001-03,0.052631579,0,0,0.016,0.037037037,0.304347826,0,0,0,0,0,0.075,0,0.022222222,0,0.13592233,0.012820513,0.020618557,0.105263158,0,0,0,0,0,0,0,0,0,0.01659751,0,0,0,0,0.078947368,0,0.021276596,0.028520499,0,0,0,0.129032258,0.019762846,0,0,0.054054054,0,0,0.025806452,0,0,0,0,0,0,0.012738854,0.008695652,0,0,0.043478261,0,0,0,0,0,0.04652731,0.011299435,0,0,0,0,0.047619048,0.019230769,0.125,0,0,0.032423208,0,0.013888889,0,0.041666667,0.022727273,0.04,0,0.01369863,0.027777778,0,0.045454545,0.033333333,0.037037037,0.01980198,0,0,0,0.0625,0,0,0,0,0,0,0.014184397,0,0.063829787,0,0,0,0,0,0.043478261,0,0,0,0,0.052631579,0,0.12244898,0.117647059,0.03926097,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0.043478261,0,0,0,0,0,0.215053763,0.008032129,0.043478261,0.0625,0.004854369,0.011627907,0,0,0,0.009803922,0.032786885,0,0,0,0,0,0,0,0,0,0.036764706,0,0,0,0,0,0.04,0,0,0,0.046511628,0,0,0.005291005,0,0.00877193,0,0,0,0,0,0,0,0,0.010309278,0,0.059701493,0,0.012048193,0,0,0.095238095,0,0,0,0.052631579,0.020408163,0,0,0.653846154,0.05,0,0,0,0,0,0,0.028571429,0,0,0,0.02173913,0,0,0,0.010351967,0.096774194,0.076923077,0,0,0,0,0.043956044,0,0,0.095238095,0.0625,0,0.001917546,0,0.029810298,0,0.031578947,0,0.073170732,0.073170732,0,0.04,0,0,0
2001-04,0,0,0.085714286,0.016,0,0,6.53E-04,0,0,0,0,0.1,0,0,0,0.145631068,0.025641026,0.030927835,0,0,0,0,0,0.055555556,0,0,0.007692308,0,0.049792531,0.010638298,0,0.057692308,0,0,0.010204082,0,0.042186572,0,0,0,0,0.007905138,0,0,0.081081081,0,0.037037037,0.019354839,0.037037037,0,0.363636364,0.075757576,0,0,0,0.026086957,0,0,0,0,0,0,0,0,0.076196898,0.011299435,0.041666667,0,0,0,0.047619048,0.038461538,0,0,0,0.119453925,0,0.013888889,0,0,0.022727273,0.08,0,0,0.013888889,0.1,0,0,0,0.00990099,0,0,0,0.0625,0,0,0,0,0,0,0.014184397,0.093023256,0.021276596,0,0.017857143,0.045454545,0.066666667,0,0.173913043,0.04,0,0.003773585,0,0,0,0.040816327,0,0.020785219,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.021505376,0.016064257,0,0.0625,0.007281553,0.011627907,0,0,0,0,0.008196721,0,0,0,0,0,0,0.016393443,0,0,0.058823529,0,0.172413793,0,0.033333333,0,0.013333333,0,0,0,0.023255814,0.086956522,0.008474576,0.005291005,0.357142857,0.078947368,0,0.00862069,0,0,0,0,0.106382979,0,0.010309278,0,0.097014925,0,0.012048193,0,0.011111111,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0.02,0,0,0.02173913,0,0,0.023809524,0.020703934,0,0,0,0,0.007042254,0,0.142857143,0,0,0,0.0625,0,0.009587728,0,0.066847335,0,0.021052632,0,0,0,0,0.02,0,0,0
2001-05,0,0,0.028571429,0.04,0,0.086956522,0.016971279,0,0.01754386,0.092307692,0,0,0,0,0,0.029126214,0.038461538,0,0,0,0,0,0,0,0,0,0.007692308,0,0.062240664,0.021276596,0,0.076923077,0,0,0,0,0.153297683,0,0,0,0,0.015810277,0,0,0,0,0,0.025806452,0,0,0,0,0.046511628,0,0.012738854,0.086956522,0,0,0,0.012195122,0.153846154,0,0,0,0.023600809,0,0,0,0.074074074,0,0,0.096153846,0,0,0,0.027303754,0,0.013888889,0,0,0,0.02,0,0,0.111111111,0,0,0,0,0.01980198,0,0,0,0.375,0,0,0,0,0.013513514,0,0.007092199,0.007751938,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0.016166282,0,0,0,0,0,0.013888889,0,0,0,0.133333333,0,0,0,0.130434783,0,0,0,0,0,0.086021505,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0.044117647,0,0.103448276,0,0,0,0.026666667,0,0,0,0.023255814,0.043478261,0.016949153,0.005291005,0,0,0,0,0,0,0.16,0,0,0.133333333,0,0,0.007462687,0.043478261,0.072289157,0.023255814,0,0,0,0,0,0,0.020408163,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0.004140787,0.032258065,0,0,0,0.035211268,0.03125,0.148351648,0,0,0,0,0,0.013183126,0.034482759,0.026196929,0,0.084210526,0,0,0,0,0,0,0,0
2001-06,0,0,0.028571429,0.096,0.037037037,0,0,0,0,0.038461538,0,0.075,0,0,0,0.029126214,0.012820513,0.010309278,0,0,0,0,0,0,0,0,0.007692308,0,0.066390041,0.031914894,0,0,0,0.026315789,0.010204082,0,0.231134878,0,0,0,0,0.027667984,0,0,0,0,0.074074074,0.058064516,0,0,0,0.015151515,0.046511628,0,0.006369427,0.017391304,0,0,0,0.012195122,0,0,0.041666667,0.243243243,0.06338503,0,0,0.045454545,0.481481481,0,0,0.115384615,0,0,0.05,0.032423208,0.02739726,0.013888889,0,0,0.022727273,0.08,0,0,0.013888889,0,0.045454545,0.033333333,0,0.00990099,0.068965517,0.076923077,0,0,0,0,0,0,0.013513514,0,0.120567376,0.023255814,0,0,0,0,0,0,0.086956522,0,0,0.011320755,0,0,0,0,0,0.041570439,0.005208333,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0.02173913,0,0,0,0,0,0.010752688,0.012048193,0.565217391,0,0,0,0,0.014925373,0,0,0,0,0,0.088235294,0,0,0,0,0,0.1,0,0,0,0,0.033333333,0,0.04,0,0,0,0.023255814,0.086956522,0.025423729,0,0,0.00877193,0.066666667,0.068965517,0,0.157894737,0.8,0,0,0,0.020618557,0,0.119402985,0,0.168674699,0.023255814,0,0,0,0,0,0,0.040816327,0.1,0.464285714,0.653846154,0,0.139534884,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0.02484472,0.225806452,0,0,0,0.056338028,0,0.494505495,0,0,0,0,0,0.011505273,0.034482759,0.041553749,0.05,0.084210526,0,0.024390244,0,0,0,0,0,0
2001-07,0,0,0,0,0.037037037,0,0,0,0,0.015384615,0,0,0,0,0,0.029126214,0.076923077,0.041237113,0.052631579,0,0.018181818,0,0,0,0,0.0625,0.007692308,0,0.078838174,0.074468085,0,0.057692308,0,0.026315789,0,0,0.057040998,0.024390244,0,0,0.064516129,0.019762846,0,0,0.108108108,0,0.222222222,0.058064516,0,0.024691358,0,0,0,0,0,0.034782609,0,0,0,0,0.307692308,0,0,0,0.049898854,0.028248588,0,0.090909091,0,0,0.047619048,0.038461538,0,0,0.025,0.02559727,0.02739726,0.069444444,0,0,0,0.02,0.333333333,0.01369863,0,0,0,0,0,0.059405941,0,0,0,0.0625,0,0,0,0.071428571,0,0,0.021276596,0.054263566,0.042553191,0,0,0,0.066666667,0,0,0,0.090909091,0.00754717,0,0.052631579,0,0,0,0.011547344,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.090909091,0,0,0.020833333,0.010752688,0,0,0,0,0.069767442,0,0,0,0,0,0,0.125,0,0,0,0,0.032786885,0,0,0.022058824,0,0,0,0,0,0.213333333,0,0,0,0.046511628,0,0.008474576,0.005291005,0,0.01754386,0,0,0,0.157894737,0.08,0,0.191489362,0,0.12371134,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0.05,0,0.153846154,0,0,0,0,0,0.181818182,0,0.028571429,0,0,0,0,0,0,0,0.008281573,0,0,0,0,0.049295775,0,0.153846154,0.055555556,0.027777778,0.19047619,0,0,0.012224353,0.034482759,0.041553749,0,0.031578947,0,0.024390244,0,0,0,0,0,0
2001-08,0,0.041666667,0.028571429,0.016,0,0,0,0,0.01754386,0.007692308,0,0.025,0,0,0,0.097087379,0.08974359,0.010309278,0,0.037037037,0,0.033333333,0,0,0,0,0.007692308,0,0.045643154,0.031914894,0.1,0.019230769,0,0,0.010204082,0,0.066547831,0.048780488,0,0,0.064516129,0.075098814,0,0,0.162162162,0,0.111111111,0.083870968,0,0.037037037,0,0.03030303,0,0.166666667,0,0.147826087,0,0.055555556,0.043478261,0,0,0,0.020833333,0,0.060013486,0,0,0,0.037037037,0.037037037,0.047619048,0.115384615,0,0,0.05,0.042662116,0,0,0,0,0.068181818,0.06,0.083333333,0,0.013888889,0,0.045454545,0.033333333,0.074074074,0.059405941,0,0,0,0.0625,0,0,0,0,0.013513514,0,0.035460993,0.015503876,0.021276596,1,0,0,0,0,0,0,0,0.026415094,0,0.052631579,0,0.020408163,0,0.004618938,0,0.010416667,0,0.019607843,0,0.027777778,0,0,0,0,0.071428571,0.058823529,0,0.02173913,0.058823529,0,0.013888889,0,0,0,0.016064257,0,0,0,0.127906977,0,0,0,0,0.016393443,0,0,0.029411765,0,0,0,0.098360656,0,0,0,0.05,0,0,0.033333333,0.071428571,0.013333333,0,0,0.076923077,0.069767442,0,0,0,0,0.01754386,0,0,0,0.105263158,1,0,0,0,0.072164948,0,0.082089552,0,0.048192771,0,0,0,0,0,0,0.052631579,0.06122449,0,0.035714286,0.269230769,0,0,0,0,0,0,0,0,0,0.028571429,0,0.02173913,0,0,0,0.01863354,0.032258065,0,0,0.045454545,0.014084507,0.03125,0.049450549,0,0,0,0,0,0.015100671,0,0.056910569,0,0.052631579,0,0,0,0,0,0.033333333,0,0
2001-09,0,0,0.085714286,0.008,0,0,0.007180157,0,0.01754386,0.007692308,0,0.05,0,0,0,0.048543689,0.038461538,0,0.052631579,0.148148148,0,0,0,0.055555556,0,0,0,0,0.062240664,0.021276596,0,0,0,0,0.010204082,0.021276596,0.077243018,0,0,0.133333333,0,0.015810277,0,0,0.081081081,0,0.037037037,0.161290323,0,0,0,0.075757576,0,0,0,0.008695652,0,0,0,0,0.153846154,0,0,0,0.012811868,0.005649718,0,0,0,0,0,0.173076923,0,0,0.05,0.136518771,0,0,0,0,0,0.14,0,0,0.027777778,0,0,0,0,0.04950495,0,0.038461538,0,0.125,0,0,0,0,0,0,0.021276596,0.007751938,0.063829787,0,0.303571429,0.045454545,0,0.017857143,0,0,0,0,0,0,0,0,0,0.020785219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0.020833333,0,0.012048193,0,0,0,0,0,0,0,0,0.073770492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.071428571,0,0,0,0,0.046511628,0,0.152542373,0.021164021,0,0.061403509,0,0,0,0,0.16,0,0,0,0.030927835,0,0.007462687,0,0.036144578,0,0,0,0,0,0,0,0.040816327,0.05,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0.282608696,0.003952569,0,0,0.00621118,0,0,0,0,0.014084507,0,0.120879121,0,0,0,0,0,0.009827421,0.034482759,0.01535682,0,0.042105263,0,0,0,0,0,0,0,0
2001-10,0.157894737,0,0,0.016,0.037037037,0,1,0,0.035087719,0,0,0,0,0.044444444,0,0.019417476,0.038461538,0,0,0,0,0.033333333,0.012578616,0.055555556,0,0.0625,0.015384615,0.073170732,0.029045643,0,0,0,0,0,0,0,0.087344029,0.024390244,0,0.2,0,0,0.066666667,0,0,0,0,0.174193548,0,0,0,0.257575758,0,0,0.006369427,0,0,0,0,0.036585366,0,0,0,0,0.161159811,0.056497175,0,0,0.037037037,0,0,0,0,0,0,0.201365188,0.068493151,0.013888889,0,0,0,0.26,0,0,0.083333333,0,0,0,0,0.04950495,0,0.115384615,0,0.0625,0,0,0,0,0,0.1,0.014184397,0,0.021276596,0,0,0,0.066666667,0,0,0,0,0.101886792,0,0.052631579,0,0,0.176470588,0.189376443,0.005208333,0.104166667,0,0,0,0.013888889,0,0,0,0,0,0,0,0.02173913,0,0.090909091,0,0,0,0.032258065,0,0.086956522,0,0,0,0,0,0,0,0.401639344,0,0,0.088235294,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0.023255814,0.173913043,0.203389831,0.031746032,0,0.061403509,0.666666667,0.017241379,0,0,0,0,0.021276596,0.066666667,0,0,0,0.043478261,0.13253012,0.023255814,0.011111111,0,0,0,0,0,0.06122449,0,0.035714286,0.038461538,0,0,0,0,0.090909091,0,0,0.057142857,0,0,0,0.239130435,0,0,0,0.122153209,0,0,0,0,0.035211268,0,0.032967033,0,0,0,0,0.388888889,0.006232023,0.034482759,0.022583559,0.15,0.115789474,0.133333333,0,0,0,0,0.1,0,0
