date,macular degeneration,choking,allergy,anemia,anthrax,apnea,cardiac arrest,asthma,illusion,avian influenza,back pain,back injury,sting,bleeding,high blood pressure,body weight,broken bone,dengue,spotting,contusion,blister,burns,corpses,calculus,colon cancer,cervical cancer,prostate cancer,ovarian cancer,death,cardiovascular disease,encephalopathy,stroke,cholera,alcoholism,copd,chronic diseases,shock,brain injury,cough,cramp,birth defects,drug abuse,alexia,stuttering,diarrhea,tuberculosis,disease,infectious diseases,kidney disease,neurological disorders,dislocation,multiple sclerosis,dizziness,drowning,emergency,vomiting,polio,epilepsy,rash,kidney failure,dementia,fatigue,cystic fibrosis,fibrosis,flushing,seizure,food poisoning,boils,gunshot wounds,hearing loss,heart attack,heart disease,heart failure,hemophilia,hepatitis,hepatitis b,liver cancer,hiccups,hiv infection,fever,blindness,erectile dysfunction,infection,inflammation,influenza,foot injury,ankle injury,head injuries,wrist injury,insomnia,knee injury,underweight,leg injury,leukemia,liver disease,weight loss,lung disease,lymphoma,mad cow disease,breast cancer,malnutrition,measles,melanoma,meningitis,microcephaly,migraine,nausea,kidney cancer,skin cancer,obesity,childhood obesity,osteoarthritis,osteoporosis,drug overdose,overweight,chest pain,pancreatic cancer,paralysis,plague,pneumonia,poisoning,arthritis,preterm birth,brain cancer,coma,hepatitis c,lung cancer,rare diseases,confusion,recurrence,malaria,infertility,rheumatoid arthritis,rupture,scars,sclerosis,sexually transmitted diseases,sleep apnea,spasms,miscarriage,famine,kidney stones,strain,dehydration,sudden death,syndrome,aids,injury,tremors,cancer,ulcers,headache,weight gain,whooping cough,chronic pain,shingles
2006-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-01,47,11,30,72,9,23,0,47,12,70,17,3,79,83,49,17,6,7,9,5,5,178,21,0,29,34,49,6,1007,16,9,238,15,36,32,4,111,3,30,9,26,37,1,14,34,24,939,38,34,11,1,16,4,6,385,26,6,58,27,5,99,42,7,7,11,53,1,4,14,4,103,108,38,0,37,18,6,10,16,84,13,38,248,51,140,4,3,3,9,7,20,46,4,36,0,35,13,19,6,109,16,20,41,24,6,34,39,18,12,115,5,13,23,7,202,10,42,6,35,60,23,95,12,7,13,17,42,5,58,31,63,8,32,7,11,17,35,17,1,5,35,11,190,10,8,77,171,440,29,979,11,86,28,23,5,13
2007-02,12,11,51,65,16,1,0,41,11,57,3,7,108,45,75,9,5,13,7,11,2,164,31,0,15,54,15,3,777,16,10,220,18,23,15,18,151,39,10,6,4,36,0,3,46,15,813,54,20,14,10,30,17,13,368,22,36,27,15,21,42,48,0,2,5,37,4,2,12,0,93,129,27,3,41,3,22,9,13,33,14,18,234,38,125,3,1,10,2,10,16,34,4,11,7,27,16,7,15,125,11,2,4,2,0,6,38,12,16,76,4,1,25,20,103,23,22,9,9,39,30,59,20,9,11,21,80,1,59,22,38,11,22,9,14,31,11,1,9,6,19,0,246,10,17,76,229,516,13,926,12,45,28,2,3,12
2007-03,2,9,29,79,4,33,0,86,24,48,5,9,31,58,87,12,3,3,5,7,1,176,45,2,70,33,89,23,1102,46,11,261,20,36,17,28,146,18,39,8,13,38,0,10,27,52,1018,43,23,4,19,17,4,11,359,20,3,18,45,42,16,29,2,9,3,86,10,6,10,11,272,166,98,2,45,18,12,20,20,57,19,8,220,43,111,1,2,15,2,63,14,46,0,47,0,35,17,15,8,163,5,2,19,21,0,36,15,6,28,128,17,9,11,16,144,33,19,3,15,23,42,62,5,10,11,7,73,5,87,32,74,26,20,6,21,26,10,32,14,11,40,0,235,5,11,68,225,492,38,1333,10,75,23,0,3,18
2007-04,14,12,56,122,3,17,12,105,29,37,3,9,23,75,102,15,3,4,5,6,5,165,20,4,35,41,79,24,882,30,8,226,11,37,44,15,157,65,4,11,3,20,6,4,22,19,969,29,28,6,3,14,12,15,298,22,7,29,34,37,18,34,11,11,4,43,12,7,28,0,152,106,56,2,46,15,8,9,7,31,19,11,199,45,96,11,2,19,9,22,6,48,5,10,6,30,28,16,27,218,11,4,31,22,0,136,44,9,10,124,14,31,30,14,171,12,32,18,15,36,28,145,9,22,27,18,76,1,48,48,38,15,28,9,24,17,11,23,3,13,24,2,151,9,7,56,258,634,18,1583,20,71,31,0,10,0
2007-05,20,16,40,142,14,1,5,101,21,27,4,10,87,71,82,12,18,20,18,5,6,206,41,2,22,37,57,13,1036,26,18,264,20,42,27,11,116,12,28,4,12,66,5,1,29,48,1023,18,19,3,6,50,10,6,320,15,15,35,56,44,19,43,11,31,0,59,4,5,8,1,206,125,112,3,31,8,3,2,11,83,28,12,225,43,77,2,4,14,8,16,6,41,2,21,4,43,23,32,26,194,15,8,9,13,0,38,27,19,20,106,15,7,29,8,186,11,9,31,20,38,45,37,5,4,14,9,55,4,69,75,116,14,12,9,28,59,5,0,2,7,29,0,138,6,0,62,180,535,12,1277,9,81,20,17,10,2
2007-06,12,13,25,37,41,4,5,131,27,20,4,2,95,50,122,23,11,39,8,21,1,156,40,5,47,25,48,7,998,29,13,214,16,11,11,32,110,8,27,7,22,42,4,4,31,76,1135,43,18,7,6,26,7,7,482,18,18,38,25,11,14,55,8,16,5,65,3,3,12,1,177,117,95,0,40,18,72,14,40,71,42,15,257,31,60,3,3,3,26,16,14,60,1,44,14,46,16,43,33,233,23,3,6,28,0,37,26,25,8,144,5,16,14,0,177,9,15,11,16,28,47,111,22,19,28,14,113,5,78,42,73,6,42,4,35,31,15,4,2,15,19,0,162,11,5,42,279,440,21,1516,9,75,28,5,5,0
2007-07,7,13,74,117,1,6,13,59,33,14,8,9,46,43,83,22,6,36,6,15,3,219,30,1,24,21,34,20,933,37,10,220,8,29,14,10,114,5,21,16,9,40,1,0,37,28,885,21,17,2,8,43,18,19,384,19,24,67,29,14,25,43,8,10,1,99,4,11,23,2,184,164,30,0,34,6,7,7,22,39,7,7,281,40,35,2,8,14,5,39,10,37,3,21,5,62,12,8,8,166,40,0,0,5,0,28,22,1,23,129,17,11,37,0,130,17,5,72,21,6,51,89,5,15,8,25,47,5,64,50,48,22,17,9,49,45,12,5,3,1,45,0,158,3,13,81,240,523,52,1010,8,62,39,0,2,3
2007-08,21,22,40,67,19,1,4,70,17,15,4,12,71,50,104,13,10,31,11,2,27,164,34,1,42,40,54,9,965,14,18,207,51,11,37,13,121,19,40,13,11,11,0,4,81,26,1053,41,23,6,61,24,7,35,662,9,41,25,33,4,61,30,0,9,25,47,4,7,12,1,105,78,76,5,53,15,43,5,15,124,25,14,255,39,53,4,14,9,13,17,9,40,4,24,7,22,13,9,23,100,11,5,1,13,0,60,16,18,20,120,7,4,35,5,115,3,24,22,31,27,45,33,14,2,8,26,38,8,67,42,35,14,18,11,24,24,13,1,9,12,29,4,260,8,4,49,121,538,42,957,14,85,23,11,3,2
2007-09,6,10,31,66,9,14,3,102,21,10,9,8,62,55,59,16,3,8,17,4,2,248,40,2,28,10,72,6,968,27,9,222,44,16,0,33,187,9,19,9,22,22,7,2,50,20,870,30,15,7,36,19,0,10,560,18,5,14,26,27,25,39,3,15,55,53,7,7,20,2,249,95,93,1,32,9,11,2,11,44,13,23,143,35,34,2,2,4,6,24,9,59,2,32,3,33,13,21,14,157,22,3,2,15,0,12,21,11,14,118,12,1,59,12,103,8,28,32,13,21,28,69,8,8,13,9,124,4,60,18,31,12,18,8,23,21,3,14,4,17,34,3,230,18,2,69,133,463,46,1318,13,71,25,0,0,6
