date,macular degeneration,choking,allergy,anemia,anthrax,apnea,cardiac arrest,asthma,illusion,avian influenza,back pain,back injury,sting,bleeding,high blood pressure,body weight,broken bone,dengue,spotting,contusion,blister,burns,corpses,calculus,colon cancer,cervical cancer,prostate cancer,ovarian cancer,death,cardiovascular disease,encephalopathy,stroke,cholera,alcoholism,copd,chronic diseases,shock,brain injury,cough,cramp,birth defects,drug abuse,alexia,stuttering,diarrhea,tuberculosis,disease,infectious diseases,kidney disease,neurological disorders,dislocation,multiple sclerosis,dizziness,drowning,emergency,vomiting,polio,epilepsy,rash,kidney failure,dementia,fatigue,cystic fibrosis,fibrosis,flushing,seizure,food poisoning,boils,gunshot wounds,hearing loss,heart attack,heart disease,heart failure,hemophilia,hepatitis,hepatitis b,liver cancer,hiccups,hiv infection,fever,blindness,erectile dysfunction,infection,inflammation,influenza,foot injury,ankle injury,head injuries,wrist injury,insomnia,knee injury,underweight,leg injury,leukemia,liver disease,weight loss,lung disease,lymphoma,mad cow disease,breast cancer,malnutrition,measles,melanoma,meningitis,microcephaly,migraine,nausea,kidney cancer,skin cancer,obesity,childhood obesity,osteoarthritis,osteoporosis,drug overdose,overweight,chest pain,pancreatic cancer,paralysis,plague,pneumonia,poisoning,arthritis,preterm birth,brain cancer,coma,hepatitis c,lung cancer,rare diseases,confusion,recurrence,malaria,infertility,rheumatoid arthritis,rupture,scars,sclerosis,sexually transmitted diseases,sleep apnea,spasms,miscarriage,famine,kidney stones,strain,dehydration,sudden death,syndrome,aids,injury,tremors,cancer,ulcers,headache,weight gain,whooping cough,chronic pain,shingles
2006-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001030928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857143,0,0,0,0,0,0,0,0.014705882,0,0,0.002824859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E-04,0,0,0,0,0,0
2007-01,1,0.15942029,0.215827338,0.507042254,0.029801325,0.273809524,0,0.279761905,0.24,0.510948905,0.178947368,0.06,0.681034483,0.436842105,0.401639344,0.607142857,0.089552239,0.030567686,0.321428571,0.016556291,0.063291139,0.541033435,0.127272727,0,0.397260274,0.395348837,0.326666667,0.088235294,0.519072165,0.32,0.176470588,0.613402062,0.036674817,0.857142857,0.516129032,0.072727273,0.233684211,0.029126214,0.337078652,0.134328358,0.109243697,0.352380952,0.020833333,0.451612903,0.211180124,0.315789474,0.307767945,0.169642857,0.62962963,0.234042553,0.008196721,0.181818182,0.071428571,0.095238095,0.24168236,0.128078818,0.035714286,0.644444444,0.293478261,0.113636364,0.868421053,0.28,0.259259259,0.134615385,0.080882353,0.107942974,0.02173913,0.19047619,0.333333333,0.051948052,0.378676471,0.627906977,0.339285714,0,0.193717277,0.620689655,0.083333333,0.217391304,0.326530612,0.101818182,0.191176471,0.730769231,0.380368098,0.072033898,0.21021021,0.074074074,0.017241379,0.043478261,0.25,0.111111111,0.12195122,0.438095238,0.097560976,0.553846154,0,0.402298851,0.361111111,0.25,0.037735849,0.304469274,0.285714286,0.049875312,0.241176471,0.022813688,0.008941878,0.25,0.52,0.409090909,0.16,0.46,0.102040816,0.419354839,0.237113402,0.225806452,1,0.303030303,0.42,0.075949367,0.448717949,0.722891566,0.264367816,0.633333333,0.352941176,0.125,0.30952381,0.106918239,0.320610687,0.098039216,0.355828221,0.413333333,0.276315789,0.19047619,0.516129032,0.053030303,0.135802469,0.171717172,0.853658537,0.226666667,0.006289308,0.128205128,0.238095238,0.076388889,0.158730159,0.151515152,0.242424242,0.322175732,0.337278107,0.194604157,0.281553398,0.440792436,0.44,0.341269841,0.682926829,0.547619048,0.151515152,0.146067416
2007-02,0.255319149,0.15942029,0.366906475,0.457746479,0.052980132,0.011904762,0,0.244047619,0.22,0.416058394,0.031578947,0.14,0.931034483,0.236842105,0.614754098,0.321428571,0.074626866,0.056768559,0.25,0.036423841,0.025316456,0.498480243,0.187878788,0,0.205479452,0.627906977,0.1,0.044117647,0.400515464,0.32,0.196078431,0.567010309,0.04400978,0.547619048,0.241935484,0.327272727,0.317894737,0.378640777,0.112359551,0.089552239,0.016806723,0.342857143,0,0.096774194,0.285714286,0.197368421,0.26647001,0.241071429,0.37037037,0.29787234,0.081967213,0.340909091,0.303571429,0.206349206,0.231010672,0.108374384,0.214285714,0.3,0.163043478,0.477272727,0.368421053,0.32,0,0.038461538,0.036764706,0.075356415,0.086956522,0.095238095,0.285714286,0,0.341911765,0.75,0.241071429,0.021126761,0.214659686,0.103448276,0.305555556,0.195652174,0.265306122,0.04,0.205882353,0.346153846,0.358895706,0.053672316,0.187687688,0.055555556,0.005747126,0.144927536,0.055555556,0.158730159,0.097560976,0.323809524,0.097560976,0.169230769,0.145833333,0.310344828,0.444444444,0.092105263,0.094339623,0.349162011,0.196428571,0.004987531,0.023529412,0.001901141,0,0.044117647,0.506666667,0.272727273,0.213333333,0.304,0.081632653,0.032258065,0.257731959,0.64516129,0.50990099,0.696969697,0.22,0.113924051,0.115384615,0.469879518,0.344827586,0.393333333,0.588235294,0.160714286,0.261904762,0.132075472,0.610687023,0.019607843,0.36196319,0.293333333,0.166666667,0.261904762,0.35483871,0.068181818,0.172839506,0.313131313,0.268292683,0.013333333,0.056603774,0.153846154,0.129251701,0,0.205513784,0.151515152,0.515151515,0.317991632,0.451676529,0.228217603,0.126213592,0.416929311,0.48,0.178571429,0.682926829,0.047619048,0.090909091,0.134831461
2007-03,0.042553191,0.130434783,0.208633094,0.556338028,0.013245033,0.392857143,0,0.511904762,0.48,0.350364964,0.052631579,0.18,0.267241379,0.305263158,0.713114754,0.428571429,0.044776119,0.013100437,0.178571429,0.023178808,0.012658228,0.534954407,0.272727273,0.071428571,0.95890411,0.38372093,0.593333333,0.338235294,0.568041237,0.92,0.215686275,0.672680412,0.048899756,0.857142857,0.274193548,0.509090909,0.307368421,0.174757282,0.438202247,0.119402985,0.054621849,0.361904762,0,0.322580645,0.167701863,0.684210526,0.333661095,0.191964286,0.425925926,0.085106383,0.155737705,0.193181818,0.071428571,0.174603175,0.225360954,0.098522167,0.017857143,0.2,0.489130435,0.954545455,0.140350877,0.193333333,0.074074074,0.173076923,0.022058824,0.175152749,0.217391304,0.285714286,0.238095238,0.142857143,1,0.965116279,0.875,0.014084507,0.235602094,0.620689655,0.166666667,0.434782609,0.408163265,0.069090909,0.279411765,0.153846154,0.337423313,0.060734463,0.166666667,0.018518519,0.011494253,0.217391304,0.055555556,1,0.085365854,0.438095238,0,0.723076923,0,0.402298851,0.472222222,0.197368421,0.050314465,0.455307263,0.089285714,0.004987531,0.111764706,0.019961977,0,0.264705882,0.2,0.136363636,0.373333333,0.512,0.346938776,0.290322581,0.113402062,0.516129032,0.712871287,1,0.19,0.037974684,0.192307692,0.277108434,0.482758621,0.413333333,0.147058824,0.178571429,0.261904762,0.044025157,0.557251908,0.098039216,0.533742331,0.426666667,0.324561404,0.619047619,0.322580645,0.045454545,0.259259259,0.262626263,0.243902439,0.426666667,0.088050314,0.282051282,0.272108844,0,0.196324144,0.075757576,0.333333333,0.284518828,0.443786982,0.217602831,0.368932039,0.600180099,0.4,0.297619048,0.56097561,0,0.090909091,0.202247191
2007-04,0.29787234,0.173913043,0.402877698,0.85915493,0.009933775,0.202380952,0.113207547,0.625,0.58,0.270072993,0.031578947,0.18,0.198275862,0.394736842,0.836065574,0.535714286,0.044776119,0.017467249,0.178571429,0.01986755,0.063291139,0.501519757,0.121212121,0.142857143,0.479452055,0.476744186,0.526666667,0.352941176,0.454639175,0.6,0.156862745,0.582474227,0.026894866,0.880952381,0.709677419,0.272727273,0.330526316,0.631067961,0.04494382,0.164179104,0.012605042,0.19047619,0.125,0.129032258,0.136645963,0.25,0.317600787,0.129464286,0.518518519,0.127659574,0.024590164,0.159090909,0.214285714,0.238095238,0.187068424,0.108374384,0.041666667,0.322222222,0.369565217,0.840909091,0.157894737,0.226666667,0.407407407,0.211538462,0.029411765,0.087576375,0.260869565,0.333333333,0.666666667,0,0.558823529,0.61627907,0.5,0.014084507,0.240837696,0.517241379,0.111111111,0.195652174,0.142857143,0.037575758,0.279411765,0.211538462,0.305214724,0.063559322,0.144144144,0.203703704,0.011494253,0.275362319,0.25,0.349206349,0.036585366,0.457142857,0.12195122,0.153846154,0.125,0.344827586,0.777777778,0.210526316,0.169811321,0.608938547,0.196428571,0.009975062,0.182352941,0.020912548,0,1,0.586666667,0.204545455,0.133333333,0.496,0.285714286,1,0.309278351,0.451612903,0.846534653,0.363636364,0.32,0.227848101,0.192307692,0.43373494,0.32183908,0.966666667,0.264705882,0.392857143,0.642857143,0.113207547,0.580152672,0.019607843,0.294478528,0.64,0.166666667,0.357142857,0.451612903,0.068181818,0.296296296,0.171717172,0.268292683,0.306666667,0.018867925,0.333333333,0.163265306,0.013888889,0.126148705,0.136363636,0.212121212,0.234309623,0.50887574,0.2804069,0.174757282,0.712742008,0.8,0.281746032,0.756097561,0,0.303030303,0
2007-05,0.425531915,0.231884058,0.287769784,1,0.046357616,0.011904762,0.047169811,0.601190476,0.42,0.197080292,0.042105263,0.2,0.75,0.373684211,0.672131148,0.428571429,0.268656716,0.087336245,0.642857143,0.016556291,0.075949367,0.626139818,0.248484848,0.071428571,0.301369863,0.430232558,0.38,0.191176471,0.534020619,0.52,0.352941176,0.680412371,0.048899756,1,0.435483871,0.2,0.244210526,0.116504854,0.314606742,0.059701493,0.050420168,0.628571429,0.104166667,0.032258065,0.180124224,0.631578947,0.335299902,0.080357143,0.351851852,0.063829787,0.049180328,0.568181818,0.178571429,0.095238095,0.200878845,0.073891626,0.089285714,0.388888889,0.608695652,1,0.166666667,0.286666667,0.407407407,0.596153846,0,0.120162933,0.086956522,0.238095238,0.19047619,0.012987013,0.757352941,0.726744186,1,0.021126761,0.162303665,0.275862069,0.041666667,0.043478261,0.224489796,0.100606061,0.411764706,0.230769231,0.345092025,0.060734463,0.115615616,0.037037037,0.022988506,0.202898551,0.222222222,0.253968254,0.036585366,0.39047619,0.048780488,0.323076923,0.083333333,0.494252874,0.638888889,0.421052632,0.163522013,0.541899441,0.267857143,0.019950125,0.052941176,0.012357414,0,0.279411765,0.36,0.431818182,0.266666667,0.424,0.306122449,0.225806452,0.298969072,0.258064516,0.920792079,0.333333333,0.09,0.392405063,0.256410256,0.457831325,0.517241379,0.246666667,0.147058824,0.071428571,0.333333333,0.056603774,0.419847328,0.078431373,0.423312883,1,0.50877193,0.333333333,0.193548387,0.068181818,0.345679012,0.595959596,0.12195122,0,0.012578616,0.179487179,0.197278912,0,0.115288221,0.090909091,0,0.259414226,0.355029586,0.236620964,0.116504854,0.574966231,0.36,0.321428571,0.487804878,0.404761905,0.303030303,0.02247191
2007-06,0.255319149,0.188405797,0.179856115,0.26056338,0.135761589,0.047619048,0.047169811,0.779761905,0.54,0.145985401,0.042105263,0.04,0.818965517,0.263157895,1,0.821428571,0.164179104,0.170305677,0.285714286,0.069536424,0.012658228,0.474164134,0.242424242,0.178571429,0.643835616,0.290697674,0.32,0.102941176,0.51443299,0.58,0.254901961,0.551546392,0.039119804,0.261904762,0.177419355,0.581818182,0.231578947,0.077669903,0.303370787,0.104477612,0.092436975,0.4,0.083333333,0.129032258,0.192546584,1,0.372009177,0.191964286,0.333333333,0.14893617,0.049180328,0.295454545,0.125,0.111111111,0.30257376,0.088669951,0.107142857,0.422222222,0.27173913,0.25,0.122807018,0.366666667,0.296296296,0.307692308,0.036764706,0.132382892,0.065217391,0.142857143,0.285714286,0.012987013,0.650735294,0.680232558,0.848214286,0,0.209424084,0.620689655,1,0.304347826,0.816326531,0.086060606,0.617647059,0.288461538,0.394171779,0.043785311,0.09009009,0.055555556,0.017241379,0.043478261,0.722222222,0.253968254,0.085365854,0.571428571,0.024390244,0.676923077,0.291666667,0.528735632,0.444444444,0.565789474,0.20754717,0.650837989,0.410714286,0.007481297,0.035294118,0.02661597,0,0.272058824,0.346666667,0.568181818,0.106666667,0.576,0.102040816,0.516129032,0.144329897,0,0.876237624,0.272727273,0.15,0.139240506,0.205128205,0.337349398,0.540229885,0.74,0.647058824,0.339285714,0.666666667,0.088050314,0.86259542,0.098039216,0.478527607,0.56,0.320175439,0.142857143,0.677419355,0.03030303,0.432098765,0.313131313,0.365853659,0.053333333,0.012578616,0.384615385,0.129251701,0,0.135338346,0.166666667,0.151515152,0.175732218,0.550295858,0.194604157,0.203883495,0.682575416,0.36,0.297619048,0.682926829,0.119047619,0.151515152,0
2007-07,0.14893617,0.188405797,0.532374101,0.823943662,0.003311258,0.071428571,0.122641509,0.351190476,0.66,0.102189781,0.084210526,0.18,0.396551724,0.226315789,0.680327869,0.785714286,0.089552239,0.15720524,0.214285714,0.049668874,0.037974684,0.665653495,0.181818182,0.035714286,0.328767123,0.244186047,0.226666667,0.294117647,0.480927835,0.74,0.196078431,0.567010309,0.019559902,0.69047619,0.225806452,0.181818182,0.24,0.048543689,0.235955056,0.23880597,0.037815126,0.380952381,0.020833333,0,0.229813665,0.368421053,0.29006883,0.09375,0.314814815,0.042553191,0.06557377,0.488636364,0.321428571,0.301587302,0.241054614,0.093596059,0.142857143,0.744444444,0.315217391,0.318181818,0.219298246,0.286666667,0.296296296,0.192307692,0.007352941,0.201629328,0.086956522,0.523809524,0.547619048,0.025974026,0.676470588,0.953488372,0.267857143,0,0.178010471,0.206896552,0.097222222,0.152173913,0.448979592,0.047272727,0.102941176,0.134615385,0.430981595,0.056497175,0.052552553,0.037037037,0.045977011,0.202898551,0.138888889,0.619047619,0.06097561,0.352380952,0.073170732,0.323076923,0.104166667,0.712643678,0.333333333,0.105263158,0.050314465,0.463687151,0.714285714,0,0,0.004752852,0,0.205882353,0.293333333,0.022727273,0.306666667,0.516,0.346938776,0.35483871,0.381443299,0,0.643564356,0.515151515,0.05,0.911392405,0.269230769,0.072289157,0.586206897,0.593333333,0.147058824,0.267857143,0.19047619,0.157232704,0.358778626,0.098039216,0.392638037,0.666666667,0.210526316,0.523809524,0.274193548,0.068181818,0.604938272,0.454545455,0.292682927,0.066666667,0.018867925,0.025641026,0.306122449,0,0.131996658,0.045454545,0.393939394,0.338912134,0.473372781,0.231313578,0.504854369,0.454750113,0.32,0.246031746,0.951219512,0,0.060606061,0.033707865
